"","rn","CELL","FRAME","NucleusMean_Ch2","IntersectionMean_Ch2","NucleusMean_Ch1","IntersectionMean_Ch1","NFratio_Ch2","NFratio_Ch1","T0Means_Ch2","T0Means_Ch1","ScaledINT_Ch2","ScaledINT_Ch1","TIME","Ch1_1stSlope","Ch1_2ndSlope","Ch2_1stSlope","Ch2_2ndSlope"
"11","11","1","10",1992.318,2067.875,2234.383,2239.317,1.03792416672439,1.00220821586988,0.696465484686398,0.738448374490313,0.490273659708695,0.357181152388103,115,0.0037591871886635,0.00113092639039859,0.00309618677739167,0.000105517790572363
"12","12","1","11",1908.763,2058.675,2229.893,2240.353,1.07853882331122,1.00469080803429,0.696465484686398,0.738448374490313,0.548589050032916,0.360543055874066,125,0.000336190348596244,-0.000342299684006726,0.00583153903242206,0.000273535225503039
"13","13","1","12",1883.712,2000.737,2224.204,2144.667,1.06212467723304,0.964240240553474,0.696465484686398,0.738448374490313,0.525021268945277,0.305765269263415,135,-0.00547777866106511,-0.000581396900966136,-0.00235677810876391,-0.000818831714118597
"14","14","1","14",1746.866,1788.217,2279.48,2310.667,1.02367153519503,1.01368162914349,0.696465484686398,0.738448374490313,0.469809427319955,0.372718343165351,155,0.00334765369509681,0.000441271617808096,-0.00276059208126608,-2.01906986251082e-05
"15","15","1","15",1759.361,1824.188,2051.318,2163.283,1.0368469006645,1.05458198095078,0.696465484686398,0.738448374490313,0.48872689811954,0.428105223575948,165,0.00553868804105973,0.000219103434596292,0.00189174707995843,0.000465233916122451
"16","16","1","16",1731.549,1887.259,2055.155,2455.53,1.08992526344909,1.19481498962365,0.696465484686398,0.738448374490313,0.564937943679798,0.618007474724731,175,0.0189902251148783,0.00134515370738186,0.00762110455602585,0.000572935747606742
"17","17","1","17",1731.7,1972.608,2263.376,2564.034,1.13911647514004,1.13283608202968,0.696465484686398,0.738448374490313,0.635567734778635,0.534076207848077,185,-0.00839312668766541,-0.00273833518025437,0.00706297910988369,-5.58125446142155e-05
"18","18","1","18",1622.184,1777.864,2222.582,2605.625,1.09596938448413,1.17234144791958,0.696465484686398,0.738448374490313,0.573616221595844,0.58757401115379,195,0.00534978033057127,0.00137429070182367,-0.00619515131827908,-0.00132581304281628
"19","19","1","19",1673.976,1778.656,2131.522,2271.17,1.06253375197733,1.06551562686193,0.696465484686398,0.738448374490313,0.525608627189562,0.442911466353171,205,-0.0144662544800619,-0.00198160348106332,-0.00480075944062823,0.000139439187765085
"20","20","1","20",1619.716,1682.042,2193.34,2507.746,1.03847958531002,1.14334576490649,0.696465484686398,0.738448374490313,0.491071141562199,0.548308323781798,215,0.0105396857428627,0.00250059402229246,-0.0034537485627363,0.000134701087789193
"21","21","1","21",1633.17,1617.62,2083.856,2299.957,0.990478639700705,1.10370246312605,0.696465484686398,0.738448374490313,0.42215035989428,0.494623728961204,225,-0.0053684594820594,-0.00159081452249221,-0.00689207816679191,-0.000343832960405561
"22","39","103","00",2158.237,2217.844,2505.543,2487.921,1.02761837555375,0.992966794024289,1.02761837555375,0.992966794024289,0,0,15,NA,NA,NA,NA
"23","40","103","01",2090.393,2249.688,2690.178,2917.508,1.07620337419806,1.08450370198552,1.02761837555375,0.992966794024289,0.0472792232993362,0.0921852659244018,25,0.00921852659244018,NA,0.00472792232993362,NA
