 ,Label,Area,Mean
153,103_00.tif_C2:Nucleus-C2,1.813,2158.237
154,103_00.tif_C2:Intersection-C2,0.412,2217.844
155,103_00.tif_C1:Nucleus-C1,2.006,2505.543
156,103_00.tif_C1:Intersection-C1,0.348,2487.921
157,103_01.tif_C2:Nucleus-C2,1.841,2090.393
158,103_01.tif_C2:Intersection-C2,0.705,2249.688
159,103_01.tif_C1:Nucleus-C1,1.804,2690.178
160,103_01.tif_C1:Intersection-C1,0.595,2917.508
161,103_02.tif_C2:Nucleus-C2,2.070,1977.642
162,103_02.tif_C2:Intersection-C2,0.843,2161.772
163,103_02.tif_C1:Nucleus-C1,1.566,2904.357
164,103_02.tif_C1:Intersection-C1,0.550,3081.033
165,103_03.tif_C2:Nucleus-C2,1.841,1964.204
166,103_03.tif_C2:Intersection-C2,0.852,2109.419
167,103_03.tif_C1:Nucleus-C1,2.079,2619.987
168,103_03.tif_C1:Intersection-C1,0.916,2864.320
169,103_04.tif_C2:Nucleus-C2,1.960,1937.224
170,103_04.tif_C2:Intersection-C2,0.751,2098.220
171,103_04.tif_C1:Nucleus-C1,1.804,2680.152
172,103_04.tif_C1:Intersection-C1,0.824,2870.467
173,103_05.tif_C2:Nucleus-C2,1.960,1953.192
174,103_05.tif_C2:Intersection-C2,0.760,2259.108
175,103_05.tif_C1:Nucleus-C1,1.759,2684.250
176,103_05.tif_C1:Intersection-C1,0.742,2753.358
177,103_06.tif_C2:Nucleus-C2,1.923,1903.205
178,103_06.tif_C2:Intersection-C2,0.888,2069.619
179,103_06.tif_C1:Nucleus-C1,1.813,2510.237
180,103_06.tif_C1:Intersection-C1,0.888,2620.237
181,103_07.tif_C2:Nucleus-C2,1.850,1921.267
182,103_07.tif_C2:Intersection-C2,0.751,2014.512
183,103_07.tif_C1:Nucleus-C1,1.887,2472.165
184,103_07.tif_C1:Intersection-C1,0.843,2583.261
185,103_08.tif_C2:Nucleus-C2,1.859,1845.217
186,103_08.tif_C2:Intersection-C2,0.687,2006.787
187,103_08.tif_C1:Nucleus-C1,1.887,2570.932
188,103_08.tif_C1:Intersection-C1,0.742,2795.222
189,103_09.tif_C2:Nucleus-C2,1.868,1850.294
190,103_09.tif_C2:Intersection-C2,0.623,1921.897
191,103_09.tif_C1:Nucleus-C1,1.969,2504.665
192,103_09.tif_C1:Intersection-C1,0.751,2611.415
193,103_10.tif_C2:Nucleus-C2,2.024,1785.502
194,103_10.tif_C2:Intersection-C2,0.614,1831.478
195,103_10.tif_C1:Nucleus-C1,1.887,2530.500
196,103_10.tif_C1:Intersection-C1,0.659,2759.736
197,103_11.tif_C2:Nucleus-C2,1.722,1963.676
198,103_11.tif_C2:Intersection-C2,0.604,2110.364
199,103_11.tif_C1:Nucleus-C1,1.749,2651.246
200,103_11.tif_C1:Intersection-C1,0.669,2806.822
201,103_12.tif_C2:Nucleus-C2,2.070,1840.487
202,103_12.tif_C2:Intersection-C2,0.678,1844.081
203,103_12.tif_C1:Nucleus-C1,2.317,2403.466
204,103_12.tif_C1:Intersection-C1,0.733,2614.588
205,103_13.tif_C2:Nucleus-C2,1.978,1743.653
206,103_13.tif_C2:Intersection-C2,0.476,1723.231
207,103_13.tif_C1:Nucleus-C1,1.804,2600.147
208,103_13.tif_C1:Intersection-C1,0.614,2692.657
209,103_14.tif_C2:Nucleus-C2,1.896,1760.507
210,103_14.tif_C2:Intersection-C2,0.604,1723.015
211,103_14.tif_C1:Nucleus-C1,1.722,2668.356
212,103_14.tif_C1:Intersection-C1,0.724,2692.544
213,103_15.tif_C2:Nucleus-C2,1.988,1714.558
214,103_15.tif_C2:Intersection-C2,0.861,1860.947
215,103_15.tif_C1:Nucleus-C1,1.621,2797.706
216,103_15.tif_C1:Intersection-C1,0.806,3143.023
217,103_16.tif_C2:Nucleus-C2,1.841,1799.796
218,103_16.tif_C2:Intersection-C2,0.760,1909.711
219,103_16.tif_C1:Nucleus-C1,1.795,2535.337
220,103_16.tif_C1:Intersection-C1,0.669,2748.795
221,103_17.tif_C2:Nucleus-C2,1.896,1756.841
222,103_17.tif_C2:Intersection-C2,0.971,1921.170
223,103_17.tif_C1:Nucleus-C1,1.905,2579.500
224,103_17.tif_C1:Intersection-C1,0.751,2695.098
225,103_18.tif_C2:Nucleus-C2,1.960,1775.435
226,103_18.tif_C2:Intersection-C2,0.833,1913.670
227,103_18.tif_C1:Nucleus-C1,1.823,2652.799
228,103_18.tif_C1:Intersection-C1,0.678,2881.432
229,103_19.tif_C2:Nucleus-C2,1.878,1633.420
230,103_19.tif_C2:Intersection-C2,0.659,1688.069
231,103_19.tif_C1:Nucleus-C1,1.988,2417.581
232,103_19.tif_C1:Intersection-C1,0.705,2630.896
233,103_20.tif_C2:Nucleus-C2,2.061,1621.684
234,103_20.tif_C2:Intersection-C2,0.467,1587.255
235,103_20.tif_C1:Nucleus-C1,1.969,2538.586
236,103_20.tif_C1:Intersection-C1,0.577,2661.000
237,104_00.tif_C2:Nucleus-C2,1.356,2274.007
238,104_00.tif_C2:Intersection-C2,0.833,2458.571
239,104_00.tif_C1:Nucleus-C1,1.264,2336.232
240,104_00.tif_C1:Intersection-C1,0.843,2507.554
241,104_01.tif_C2:Nucleus-C2,1.658,2086.867
242,104_01.tif_C2:Intersection-C2,0.760,2260.337
243,104_01.tif_C1:Nucleus-C1,1.630,2147.624
244,104_01.tif_C1:Intersection-C1,1.026,2346.821
245,104_02.tif_C2:Nucleus-C2,1.438,2211.490
246,104_02.tif_C2:Intersection-C2,0.687,2334.320
247,104_02.tif_C1:Nucleus-C1,1.282,2351.343
248,104_02.tif_C1:Intersection-C1,0.824,2474.844
249,104_03.tif_C2:Nucleus-C2,1.374,2130.793
250,104_03.tif_C2:Intersection-C2,0.623,2257.029
251,104_03.tif_C1:Nucleus-C1,1.365,2424.262
252,104_03.tif_C1:Intersection-C1,0.916,2608.690
253,104_04.tif_C2:Nucleus-C2,1.255,2382.956
254,104_04.tif_C2:Intersection-C2,0.696,2463.724
255,104_04.tif_C1:Nucleus-C1,1.264,2502.746
256,104_04.tif_C1:Intersection-C1,0.925,2672.109
257,104_05.tif_C2:Nucleus-C2,1.420,2215.723
258,104_05.tif_C2:Intersection-C2,0.687,2400.320
259,104_05.tif_C1:Nucleus-C1,1.273,2554.187
260,104_05.tif_C1:Intersection-C1,0.953,2689.010
261,104_06.tif_C2:Nucleus-C2,1.236,2267.896
262,104_06.tif_C2:Intersection-C2,0.714,2394.128
263,104_06.tif_C1:Nucleus-C1,1.255,2414.628
264,104_06.tif_C1:Intersection-C1,0.989,2540.972
265,104_07.tif_C2:Nucleus-C2,1.401,2184.771
266,104_07.tif_C2:Intersection-C2,0.797,2295.023
267,104_07.tif_C1:Nucleus-C1,1.291,2419.284
268,104_07.tif_C1:Intersection-C1,0.971,2573.783
269,104_08.tif_C2:Nucleus-C2,1.337,2211.281
270,104_08.tif_C2:Intersection-C2,0.650,2184.704
271,104_08.tif_C1:Nucleus-C1,1.456,2389.843
272,104_08.tif_C1:Intersection-C1,0.934,2489.725
273,104_09.tif_C2:Nucleus-C2,1.392,2188.276
274,104_09.tif_C2:Intersection-C2,0.714,2343.000
275,104_09.tif_C1:Nucleus-C1,1.282,2395.971
276,104_09.tif_C1:Intersection-C1,0.962,2538.505
277,104_10.tif_C2:Nucleus-C2,1.383,2126.146
278,104_10.tif_C2:Intersection-C2,0.742,2198.296
279,104_10.tif_C1:Nucleus-C1,1.337,2327.884
280,104_10.tif_C1:Intersection-C1,0.962,2486.876
281,104_11.tif_C2:Nucleus-C2,1.191,2296.023
282,104_11.tif_C2:Intersection-C2,0.687,2340.920
283,104_11.tif_C1:Nucleus-C1,1.456,2376.560
284,104_11.tif_C1:Intersection-C1,0.934,2568.216
285,104_12.tif_C2:Nucleus-C2,1.310,2093.552
286,104_12.tif_C2:Intersection-C2,0.806,2243.750
287,104_12.tif_C1:Nucleus-C1,1.429,2414.724
288,104_12.tif_C1:Intersection-C1,1.007,2594.891
289,104_13.tif_C2:Nucleus-C2,1.273,2118.353
290,104_13.tif_C2:Intersection-C2,0.632,2259.130
