LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
ID97292,97292,104,258.1978759765625,79.12670110557232,9.945041720480933,0.0,33.0,33,0.25,1,,844.5135135135137,710.0,526.0,1878.0,31247.0,360.2811881496653,1126.7027027027027,1116.0,531.0,1981.0,41688.0,406.9392436814715,1464.0270270270273,1378.0,984.0,2537.0,54169.0,352.6262174729061,-0.16021045201636022,-0.8943662316831649,2.3598751144618098E-4,0.001306460557389482,0.08323419097666201,0.6380341057882445
ID93838,93838,104,747.6012573242188,78.3788959274485,9.86478431124511,0.0,14.0,14,0.25,1,,3169.9459459459463,3290.0,1784.0,4135.0,117288.0,620.8555452825626,2390.1891891891896,2343.0,1499.0,3287.0,88437.0,475.82319532911936,2006.3243243243246,1784.0,1099.0,4353.0,74234.0,793.0542245035979,0.09545591459613194,0.8898139835322211,0.09806608577682506,0.8972366952375131,0.22768939444219716,0.9383882241378566
ID97939,97939,104,452.248046875,78.6378751139982,10.416576739609317,0.0,39.0,39,0.25,1,,1633.108108108108,1108.0,617.0,4287.0,60425.0,1036.0293535037129,1472.810810810811,1403.0,672.0,2412.0,54494.0,440.26367338460045,1787.1351351351357,1703.0,1075.0,2861.0,66124.0,482.9522728985732,0.05667146532603322,0.16908198304360522,0.1161795398095765,0.6964015044393304,0.1870798032991658,1.1663534089843226
ID98966,98966,104,520.3397216796875,79.11361984256989,10.574685577067779,0.0,45.0,45,0.25,1,,760.2702702702702,700.0,529.0,1669.0,28130.0,195.7771761536638,954.7567567567568,824.0,545.0,2217.0,35326.0,428.0137851755482,1844.108108108108,1794.0,1036.0,2972.0,68232.0,540.7509071130104,-0.08251754494006634,-0.6985290533144927,-0.007906004461654506,-0.03555242373216653,0.20250094350615575,1.1485786561677829
ID94616,94616,104,940.8482666015625,78.43514282263621,9.771328883798084,0.0,17.0,17,0.25,1,,2295.5945945945946,2434.0,1017.0,3599.0,84937.0,653.7179335436933,2144.0810810810813,2147.0,1312.0,2602.0,79331.0,267.09344789775344,2035.351351351352,1590.0,1057.0,5701.0,75308.0,1182.6206590124846,0.06232490934329742,0.41203971723582533,0.10774655657100962,1.5616041586145042,0.23777235457454923,0.6612177509709211
ID100251,100251,104,369.2447509765625,78.87496794708878,10.360165358977522,0.0,53.0,53,0.25,1,,1186.2162162162163,1021.0,572.0,2651.0,43890.0,549.3345031912672,1188.6756756756754,1112.0,686.0,1662.0,43981.0,231.51242515900307,1531.4594594594591,1421.0,923.0,2653.0,56664.0,441.24027182191503,-0.01299314613095055,-0.05685270454232219,0.07297538874844042,0.6984024009051097,0.14447081634817072,0.8762655964952916
ID94746,94746,104,630.4037475585938,78.4862879837388,9.900940300617636,0.0,18.0,18,0.25,1,,3151.5945945945946,3054.0,2349.0,4419.0,116609.0,595.3050319635146,2258.648648648649,2236.0,1450.0,2901.0,83570.0,343.0767015160358,1931.162162162162,1727.0,1125.0,4151.0,71453.0,683.7411187119125,0.11404637097699247,1.0839243960325213,0.05966430304972252,0.7413677931079604,0.2104637795034257,0.9821608248084297
ID94237,94237,104,552.9068603515625,78.32037478784567,9.884576308699693,0.0,12.0,12,0.25,1,,2888.297297297297,2908.0,1892.0,3931.0,106867.0,516.4471504027873,2152.5945945945946,2079.0,1203.0,3283.0,79646.0,507.03147280461246,1902.8378378378375,1856.0,971.0,3507.0,70405.0,629.2663061725807,0.06499450777048525,0.6826141631870988,0.06944374877816706,0.5513565447210653,0.1859592257945543,0.9482989456554258
ID96669,96669,104,580.50244140625,79.28790123548403,10.042381644912188,0.0,30.0,30,0.25,1,,1027.3243243243244,810.0,475.0,3136.0,38011.0,625.0917734422884,1155.3513513513512,1127.0,519.0,1983.0,42748.0,451.7294677259964,1756.6486486486485,1524.0,959.0,3522.0,64996.0,649.7158873186296,-0.1263205360807157,-0.475242876548923,1.9764756299321182E-4,0.0010108140864589425,0.1927128486621055,0.8737077507618284
ID95647,95647,104,650.0192260742188,78.68067834377842,9.656660618723741,0.0,20.0,20,0.25,1,,1980.702702702703,1817.0,796.0,3818.0,73286.0,873.2555902058834,2231.702702702703,2278.0,1062.0,3041.0,82573.0,482.57169098169953,1836.0810810810817,1497.0,1084.0,4850.0,67935.0,809.3164941403874,0.038306760182087084,0.16736230808359157,0.14400977692025557,1.1643049269975771,0.1804091397311087,0.693472800667484
ID96158,96158,104,477.49639892578125,79.01946612431878,9.888724214648558,0.0,26.0,26,0.25,1,,1561.8918918918923,1160.0,542.0,3803.0,57790.0,961.6457185408708,1695.864864864865,1721.0,706.0,2356.0,62747.0,433.27968656144816,1761.7027027027025,1655.0,1055.0,3027.0,65183.0,533.6273598300214,0.009133702679338272,0.029401130056670662,0.08123920607989764,0.5881617739751799,0.17683553168582794,0.9921521733379829
ID100516,100516,104,216.2403564453125,78.77033233409787,10.662666949018302,0.0,54.0,54,0.25,1,,1438.6486486486483,1094.0,463.0,3033.0,53230.0,850.4060865327881,1133.216216216216,1085.0,629.0,1698.0,41929.0,261.844752046273,1329.5675675675673,1245.0,921.0,1983.0,49194.0,299.95236108242074,0.038852452049294404,0.1265385757093693,0.06749879610902429,0.5473026301250773,0.07457435865304264,0.6152352030574127
ID99112,99112,104,274.835693359375,78.96617504647796,10.482361097591525,0.0,47.0,47,0.25,1,,997.1621621621622,807.0,412.0,2513.0,36895.0,554.95357731343,1158.7837837837837,1058.0,555.0,2372.0,42875.0,497.01945720549094,1471.4864864864865,1371.0,981.0,2400.0,54445.0,326.8666583062768,-0.08605121694639309,-0.3383563167088166,0.0925374345370245,0.394948203400742,0.11865988556622657,0.9550398888353296
ID92333,92333,104,715.1281127929688,78.29991569748547,10.10346186166839,0.0,4.0,4,0.25,1,,3052.135135135135,2987.0,2357.0,3878.0,112929.0,427.510244332237,2430.810810810811,2454.0,1282.0,3798.0,89940.0,632.2690547999781,2093.297297297298,1710.0,1066.0,4316.0,77452.0,788.704664654678,0.08543650839320287,1.1238964370287532,0.12310186847639555,0.8428003810072178,0.23407551289637676,1.0068406647803072
ID92588,92588,104,828.6897583007812,78.30430428779344,10.036712345347885,0.0,7.0,7,0.25,1,,2952.3513513513512,3016.0,1746.0,3850.0,109237.0,553.2301719204432,2398.486486486486,2403.0,1542.0,3283.0,88744.0,460.4212214931033,2165.7027027027034,1950.0,1097.0,4557.0,80131.0,842.5501259359676,0.08595465145216133,0.8447921551778576,0.12220265421783284,1.1345438503895693,0.25475049600604277,1.0437362051864307
ID97452,97452,104,468.4612121582031,79.31053422529114,10.043151165306057,0.0,32.0,32,0.25,1,,815.891891891892,824.0,441.0,1726.0,30188.0,249.06032109419505,903.2972972972973,836.0,475.0,1691.0,33422.0,326.6570461903827,1723.7837837837837,1626.0,947.0,2949.0,63780.0,516.6807059993164,-0.06363617812350772,-0.44526394772604855,-0.03102667633832312,-0.1770892139614013,0.1735792146843152,0.986906143020999
