"","rn","CELL","FRAME","NucleusMean_Ch2","IntersectionMean_Ch2","NucleusMean_Ch1","IntersectionMean_Ch1","NFratio_Ch2","NFratio_Ch1","T0Means_Ch2","T0Means_Ch1","ScaledINT_Ch2","ScaledINT_Ch1","TIME","Ch1_1stSlope","Ch1_2ndSlope","Ch2_1stSlope","Ch2_2ndSlope"
"13","31","108","15",1650.365,1929.071,1808.883,2077.455,1.16887536999391,1.1484739477346,0.967962395022345,0.922634336223618,0.207562789633917,0.244776942114847,165,0.00512309298154943,-0.000815764869950084,0.00354651047358194,-0.000811352897822972
"14","32","108","16",1629.988,1754.553,1802.787,1866.6,1.07642080800595,1.03539686052762,0.967962395022345,0.922634336223618,0.11204816792609,0.122218001083225,175,-0.0122558941031622,-0.00173789870847116,-0.00955146217078273,-0.00130979726443647
"15","33","108","17",1625.101,1733.694,1762.452,1846.721,1.06682230827499,1.04781350073647,0.967962395022345,0.922634336223618,0.102131977193563,0.135675813914774,185,0.00134578128315488,0.00136016753863171,-0.000991619073252714,0.000855984309753002
"16","34","108","18",1621.395,1658.296,1842.156,1863.208,1.02275879720858,1.01142791381403,0.967962395022345,0.922634336223618,0.0566100526921471,0.0962391861047023,195,-0.00394366278100713,-0.000528944406416201,-0.00455219245014158,-0.000356057337688886
"17","35","108","19",1688.088,1735.531,1688.198,1760.605,1.02810457748648,1.04289011123103,0.967962395022345,0.922634336223618,0.0621327675263135,0.130339583392943,205,0.00341003972882408,0.000735370250983121,0.000552271483416633,0.000510446393355821
"18","36","108","20",1583.011,1754.673,1821.85,1956.787,1.10844018140114,1.07406592200236,0.967962395022345,0.922634336223618,0.145127318066476,0.164129579654014,215,0.0033789996261071,-3.10401027169725e-06,0.00829945505401621,0.000774718357059958
"19","37","108","21",1639.389,1714.773,1740.564,1849.022,1.04598298512434,1.06231198622975,0.967962395022345,0.922634336223618,0.080602914434698,0.151390041018677,225,-0.00127395386353373,-0.000465295348964083,-0.00645244036317776,-0.0014751895417194
"20","38","108","22",1569.494,1554.227,1746.125,1765.3,0.990272661125178,1.01098145894481,0.967962395022345,0.922634336223618,0.0230486909590311,0.0957552946520472,235,-0.00556347463666296,-0.000428952077312923,-0.0057554223475667,6.97018015611062e-05
"21","39","108","23",1568.802,1714.348,1785.033,1901.481,1.0927752514339,1.06523576875049,0.967962395022345,0.922634336223618,0.128943910479777,0.15455899149662,245,0.00588036968445729,0.00114438443211202,0.0105895219520746,0.00163449442996413
"22","51","12","00",1838.155,2123.089,1669.252,1785.861,1.15501086687467,1.06985703776302,1.15501086687467,1.06985703776302,0,0,15,NA,NA,NA,NA
"23","52","12","01",1831.352,2053.411,1663.428,1781.548,1.12125413355816,1.07100998660597,1.15501086687467,1.06985703776302,-0.0292263339546311,0.00107766626965522,25,0.000107766626965522,NA,-0.00292263339546311,NA
"24","53","12","02",1830.175,2075.527,1633.284,1717.474,1.13405931126805,1.05154645487251,1.15501086687467,1.06985703776302,-0.018139704315778,-0.0171149810154014,35,-0.00181926472850567,-0.000192703135547119,0.00110866296388531,0.000403129635934842
"25","54","12","03",1809.259,2154.304,1696.332,1958.089,1.19071067215915,1.15430764732376,1.15501086687467,1.06985703776302,0.030908631518844,0.0789363499793503,45,0.00960513309947517,0.00114243978279808,0.00490483358346221,0.00037961706195769
"26","55","12","04",1819.732,2118.188,1685.053,1820.174,1.16401096425188,1.08018798221777,1.15501086687467,1.06985703776302,0.00779221878800773,0.00965637846001277,55,-0.00692799715193375,-0.00165331302514089,-0.00231164127308363,-0.000721647485654584
