 ,Label,Area,Mean
183,11_06.tif_C1:Nucleus-C1,2.198,1577.013
184,11_06.tif_C1:Intersection-C1,1.026,1814.062
185,11_07.tif_C2:Nucleus-C2,2.510,1385.938
186,11_07.tif_C2:Intersection-C2,1.026,1610.857
187,11_07.tif_C1:Nucleus-C1,2.171,1615.207
188,11_07.tif_C1:Intersection-C1,0.989,1795.315
189,11_08.tif_C2:Nucleus-C2,3.380,1273.924
190,11_08.tif_C2:Intersection-C2,1.026,1544.384
191,11_08.tif_C1:Nucleus-C1,2.271,1578.685
192,11_08.tif_C1:Intersection-C1,0.962,1758.610
193,11_09.tif_C2:Nucleus-C2,2.986,1303.156
194,11_09.tif_C2:Intersection-C2,0.989,1465.074
195,11_09.tif_C1:Nucleus-C1,2.207,1576.693
196,11_09.tif_C1:Intersection-C1,0.797,1701.391
197,11_10.tif_C2:Nucleus-C2,2.601,1362.884
198,11_10.tif_C2:Intersection-C2,1.026,1576.714
199,11_12.tif_C2:Nucleus-C2,3.087,1303.323
200,11_12.tif_C2:Intersection-C2,1.026,1530.339
201,11_13.tif_C2:Nucleus-C2,2.601,1351.349
202,11_13.tif_C2:Intersection-C2,0.934,1503.127
203,11_13.tif_C1:Nucleus-C1,2.006,1605.073
204,11_13.tif_C1:Intersection-C1,0.705,1644.273
205,11_14.tif_C2:Nucleus-C2,2.711,1305.689
206,11_14.tif_C2:Intersection-C2,1.017,1419.387
207,11_14.tif_C1:Nucleus-C1,2.702,1499.105
208,11_14.tif_C1:Intersection-C1,0.925,1652.297
209,12_00.tif_C2:Nucleus-C2,2.894,1838.155
210,12_00.tif_C2:Intersection-C2,1.026,2123.089
211,12_00.tif_C1:Nucleus-C1,3.050,1669.252
212,12_00.tif_C1:Intersection-C1,0.925,1785.861
213,12_01.tif_C2:Nucleus-C2,3.068,1831.352
214,12_01.tif_C2:Intersection-C2,1.026,2053.411
215,12_01.tif_C1:Nucleus-C1,2.913,1663.428
216,12_01.tif_C1:Intersection-C1,0.769,1781.548
217,12_02.tif_C2:Nucleus-C2,2.775,1830.175
218,12_02.tif_C2:Intersection-C2,1.026,2075.527
219,12_02.tif_C1:Nucleus-C1,3.123,1633.284
220,12_02.tif_C1:Intersection-C1,0.870,1717.474
221,12_03.tif_C2:Nucleus-C2,2.867,1809.259
222,12_03.tif_C2:Intersection-C2,1.026,2154.304
223,12_03.tif_C1:Nucleus-C1,2.812,1696.332
224,12_03.tif_C1:Intersection-C1,1.026,1958.089
225,12_04.tif_C2:Nucleus-C2,2.903,1819.732
226,12_04.tif_C2:Intersection-C2,1.026,2118.188
227,12_04.tif_C1:Nucleus-C1,2.748,1685.053
228,12_04.tif_C1:Intersection-C1,0.998,1820.174
229,12_06.tif_C2:Nucleus-C2,2.848,1778.678
230,12_06.tif_C2:Intersection-C2,1.026,1973.768
231,12_06.tif_C1:Nucleus-C1,2.848,1673.084
232,12_06.tif_C1:Intersection-C1,1.026,1945.446
233,12_07.tif_C2:Nucleus-C2,2.693,1792.854
234,12_07.tif_C2:Intersection-C2,0.980,1965.729
235,12_07.tif_C1:Nucleus-C1,3.096,1639.559
236,12_07.tif_C1:Intersection-C1,1.026,1959.866
237,12_08.tif_C2:Nucleus-C2,2.702,1774.553
238,12_08.tif_C2:Intersection-C2,0.925,1855.604
239,12_08.tif_C1:Nucleus-C1,2.894,1678.155
240,12_08.tif_C1:Intersection-C1,0.953,1805.644
241,12_09.tif_C2:Nucleus-C2,2.913,1752.538
242,12_09.tif_C2:Intersection-C2,1.026,1938.821
243,12_09.tif_C1:Nucleus-C1,2.665,1709.973
244,12_09.tif_C1:Intersection-C1,1.026,1943.330
245,12_10.tif_C2:Nucleus-C2,3.261,1676.407
246,12_10.tif_C2:Intersection-C2,1.017,1827.135
247,12_10.tif_C1:Nucleus-C1,2.674,1665.120
248,12_10.tif_C1:Intersection-C1,1.026,1781.071
249,12_11.tif_C2:Nucleus-C2,2.977,1703.511
250,12_11.tif_C2:Intersection-C2,1.026,1945.991
251,12_11.tif_C1:Nucleus-C1,2.674,1694.041
252,12_11.tif_C1:Intersection-C1,1.026,1915.625
253,12_12.tif_C2:Nucleus-C2,2.958,1675.923
254,12_12.tif_C2:Intersection-C2,0.998,1872.349
