 ,Label,Area,Mean
161,11_00.tif_C2:Nucleus-C2,1.044,2041.246
162,11_00.tif_C2:Intersection-C2,0.742,2118.728
163,11_00.tif_C1:Nucleus-C1,1.218,2443.474
164,11_00.tif_C1:Intersection-C1,0.779,2653.882
165,11_01.tif_C2:Nucleus-C2,1.218,2120.150
166,11_01.tif_C2:Intersection-C2,0.870,2226.663
167,11_01.tif_C1:Nucleus-C1,0.989,2621.981
168,11_01.tif_C1:Intersection-C1,0.861,2698.170
169,11_02.tif_C2:Nucleus-C2,1.062,2040.000
170,11_02.tif_C2:Intersection-C2,0.669,2044.479
171,11_02.tif_C1:Nucleus-C1,0.989,2753.694
172,11_02.tif_C1:Intersection-C1,0.659,2774.181
173,11_03.tif_C2:Nucleus-C2,0.916,2219.540
174,11_03.tif_C2:Intersection-C2,0.724,2282.291
175,11_03.tif_C1:Nucleus-C1,1.035,2639.513
176,11_03.tif_C1:Intersection-C1,0.888,2772.165
177,11_04.tif_C2:Nucleus-C2,1.007,2072.418
178,11_04.tif_C2:Intersection-C2,0.604,2317.909
179,11_04.tif_C1:Nucleus-C1,0.916,2819.000
180,11_04.tif_C1:Intersection-C1,0.797,2910.839
181,11_05.tif_C2:Nucleus-C2,1.026,1899.929
182,11_05.tif_C2:Intersection-C2,0.595,1963.015
183,11_05.tif_C1:Nucleus-C1,1.026,2618.125
184,11_05.tif_C1:Intersection-C1,0.788,2761.337
185,11_06.tif_C2:Nucleus-C2,0.962,1935.733
186,11_06.tif_C2:Intersection-C2,0.806,2006.523
187,11_06.tif_C1:Nucleus-C1,1.007,2423.409
188,11_06.tif_C1:Intersection-C1,0.843,2545.783
189,11_07.tif_C2:Nucleus-C2,1.044,2008.368
190,11_07.tif_C2:Intersection-C2,0.934,2069.824
191,11_07.tif_C1:Nucleus-C1,1.026,2608.652
192,11_07.tif_C1:Intersection-C1,0.714,2730.885
193,11_08.tif_C2:Nucleus-C2,0.971,1923.858
194,11_08.tif_C2:Intersection-C2,0.870,1966.442
195,11_08.tif_C1:Nucleus-C1,1.090,2558.050
196,11_08.tif_C1:Intersection-C1,0.696,2736.842
197,11_09.tif_C2:Nucleus-C2,1.017,1900.108
198,11_09.tif_C2:Intersection-C2,0.614,1984.672
199,11_09.tif_C1:Nucleus-C1,1.007,2554.645
200,11_09.tif_C1:Intersection-C1,0.440,2862.438
201,11_10.tif_C2:Nucleus-C2,1.007,1946.527
202,11_10.tif_C2:Intersection-C2,0.824,2020.600
203,11_10.tif_C1:Nucleus-C1,1.136,2373.589
204,11_10.tif_C1:Intersection-C1,0.659,2478.528
205,11_11.tif_C2:Nucleus-C2,1.145,1911.296
206,11_11.tif_C2:Intersection-C2,0.852,2012.882
207,11_11.tif_C1:Nucleus-C1,1.007,2561.909
208,11_11.tif_C1:Intersection-C1,0.577,2615.317
209,11_12.tif_C2:Nucleus-C2,0.953,1942.635
210,11_12.tif_C2:Intersection-C2,0.751,2040.866
211,11_12.tif_C1:Nucleus-C1,1.081,2615.483
212,11_12.tif_C1:Intersection-C1,0.595,2633.892
213,11_13.tif_C2:Nucleus-C2,0.989,1996.417
214,11_13.tif_C2:Intersection-C2,0.586,2087.609
215,11_13.tif_C1:Nucleus-C1,1.227,2371.448
216,11_13.tif_C1:Intersection-C1,0.440,2406.833
217,11_14.tif_C2:Nucleus-C2,1.282,1701.843
218,11_14.tif_C2:Intersection-C2,0.751,1702.354
219,11_14.tif_C1:Nucleus-C1,1.374,2271.027
220,11_14.tif_C1:Intersection-C1,0.714,2325.090
221,11_15.tif_C2:Nucleus-C2,1.062,1762.379
222,11_15.tif_C2:Intersection-C2,0.833,1848.330
223,11_15.tif_C1:Nucleus-C1,0.971,2642.858
224,11_15.tif_C1:Intersection-C1,0.623,2899.588
225,11_16.tif_C2:Nucleus-C2,1.291,1659.851
226,11_16.tif_C2:Intersection-C2,0.824,1788.333
227,11_16.tif_C1:Nucleus-C1,1.072,2530.547
228,11_16.tif_C1:Intersection-C1,0.586,2675.406
229,11_18.tif_C2:Nucleus-C2,1.255,1660.898
230,11_18.tif_C2:Intersection-C2,0.888,1786.381
231,11_18.tif_C1:Nucleus-C1,1.182,2392.178
232,11_18.tif_C1:Intersection-C1,0.641,2693.757
233,11_19.tif_C2:Nucleus-C2,1.374,1556.520
234,11_19.tif_C2:Intersection-C2,0.870,1667.674
235,11_19.tif_C1:Nucleus-C1,1.062,2500.147
236,11_19.tif_C1:Intersection-C1,0.540,2598.864
237,11_20.tif_C2:Nucleus-C2,1.035,1644.947
238,11_20.tif_C2:Intersection-C2,0.577,1709.048
239,11_20.tif_C1:Nucleus-C1,1.291,2189.801
240,11_20.tif_C1:Intersection-C1,0.385,2307.857
241,12_00.tif_C2:Nucleus-C2,1.951,2376.948
242,12_00.tif_C2:Intersection-C2,1.017,2559.144
243,12_00.tif_C1:Nucleus-C1,1.878,2177.932
244,12_00.tif_C1:Intersection-C1,0.751,2236.573
245,12_01.tif_C2:Nucleus-C2,2.006,2383.799
246,12_01.tif_C2:Intersection-C2,0.925,2541.465
247,12_01.tif_C1:Nucleus-C1,1.905,2184.053
248,12_01.tif_C1:Intersection-C1,0.604,2300.455
249,12_02.tif_C2:Nucleus-C2,1.740,2510.537
250,12_02.tif_C2:Intersection-C2,0.916,2718.690
251,12_02.tif_C1:Nucleus-C1,1.823,2288.508
252,12_02.tif_C1:Intersection-C1,0.623,2336.015
253,12_03.tif_C2:Nucleus-C2,1.804,2362.787
254,12_03.tif_C2:Intersection-C2,1.026,2686.518
255,12_03.tif_C1:Nucleus-C1,1.694,2322.562
256,12_03.tif_C1:Intersection-C1,0.953,2481.635
257,12_04.tif_C2:Nucleus-C2,1.887,2310.767
258,12_04.tif_C2:Intersection-C2,1.026,2567.696
259,12_04.tif_C1:Nucleus-C1,1.621,2308.475
260,12_04.tif_C1:Intersection-C1,0.724,2389.443
261,12_06.tif_C2:Nucleus-C2,1.896,2231.111
262,12_06.tif_C2:Intersection-C2,0.898,2393.939
263,12_06.tif_C1:Nucleus-C1,1.887,2130.961
264,12_06.tif_C1:Intersection-C1,1.017,2326.532
265,12_07.tif_C2:Nucleus-C2,1.887,2248.005
266,12_07.tif_C2:Intersection-C2,0.934,2373.069
267,12_07.tif_C1:Nucleus-C1,1.859,2174.064
268,12_07.tif_C1:Intersection-C1,1.007,2398.527
269,12_08.tif_C2:Nucleus-C2,1.813,2232.500
270,12_08.tif_C2:Intersection-C2,0.751,2318.451
271,12_08.tif_C1:Nucleus-C1,1.777,2239.747
272,12_08.tif_C1:Intersection-C1,0.751,2387.537
273,12_09.tif_C2:Nucleus-C2,1.795,2241.255
274,12_09.tif_C2:Intersection-C2,0.843,2383.120
275,12_09.tif_C1:Nucleus-C1,1.768,2248.596
276,12_09.tif_C1:Intersection-C1,0.998,2367.275
277,12_10.tif_C2:Nucleus-C2,2.015,2108.364
278,12_10.tif_C2:Intersection-C2,0.824,2206.844
279,12_10.tif_C1:Nucleus-C1,1.887,2188.238
280,12_10.tif_C1:Intersection-C1,0.953,2184.933
281,12_11.tif_C2:Nucleus-C2,2.024,2114.253
282,12_11.tif_C2:Intersection-C2,0.925,2273.000
