 ,Label,Area,Mean
163,103_06.tif_C2:Nucleus-C2,3.096,1602.988
164,103_06.tif_C2:Intersection-C2,1.017,1800.432
165,103_06.tif_C1:Nucleus-C1,2.766,1886.788
166,103_06.tif_C1:Intersection-C1,0.971,2101.321
167,103_07.tif_C2:Nucleus-C2,3.160,1574.029
168,103_07.tif_C2:Intersection-C2,0.934,1734.990
169,103_07.tif_C1:Nucleus-C1,2.574,1912.324
170,103_07.tif_C1:Intersection-C1,0.962,2034.448
171,103_08.tif_C2:Nucleus-C2,3.398,1527.488
172,103_08.tif_C2:Intersection-C2,0.989,1675.157
173,103_08.tif_C1:Nucleus-C1,2.913,1867.072
174,103_08.tif_C1:Intersection-C1,0.925,2045.644
175,103_09.tif_C2:Nucleus-C2,2.995,1569.645
176,103_09.tif_C2:Intersection-C2,0.843,1656.967
177,103_09.tif_C1:Nucleus-C1,3.032,1853.166
178,103_09.tif_C1:Intersection-C1,0.888,1994.124
179,103_10.tif_C2:Nucleus-C2,2.968,1563.978
180,103_10.tif_C2:Intersection-C2,0.843,1591.293
181,103_10.tif_C1:Nucleus-C1,2.757,1929.179
182,103_10.tif_C1:Intersection-C1,0.815,2092.854
183,103_11.tif_C2:Nucleus-C2,2.665,1605.230
184,103_11.tif_C2:Intersection-C2,0.779,1707.341
185,103_11.tif_C1:Nucleus-C1,2.720,1897.724
186,103_11.tif_C1:Intersection-C1,0.852,2016.699
187,103_12.tif_C2:Nucleus-C2,3.242,1542.862
188,103_12.tif_C2:Intersection-C2,0.861,1615.894
189,103_12.tif_C1:Nucleus-C1,3.425,1800.398
190,103_12.tif_C1:Intersection-C1,0.852,2012.860
191,103_13.tif_C2:Nucleus-C2,3.352,1497.904
192,103_13.tif_C2:Intersection-C2,0.769,1538.786
193,103_13.tif_C1:Nucleus-C1,3.041,1864.623
194,103_13.tif_C1:Intersection-C1,0.833,1932.901
195,103_14.tif_C2:Nucleus-C2,2.858,1549.785
196,103_14.tif_C2:Intersection-C2,0.888,1548.186
197,103_14.tif_C1:Nucleus-C1,2.574,1941.683
198,103_14.tif_C1:Intersection-C1,0.971,2020.858
199,103_15.tif_C2:Nucleus-C2,3.041,1509.325
200,103_15.tif_C2:Intersection-C2,1.007,1638.455
201,103_15.tif_C1:Nucleus-C1,2.684,1913.922
202,103_15.tif_C1:Intersection-C1,0.989,2163.778
203,103_16.tif_C2:Nucleus-C2,2.894,1512.051
204,103_16.tif_C2:Intersection-C2,0.962,1620.667
205,103_16.tif_C1:Nucleus-C1,2.931,1834.237
206,103_16.tif_C1:Intersection-C1,0.806,2035.932
207,103_17.tif_C2:Nucleus-C2,3.068,1496.155
208,103_17.tif_C2:Intersection-C2,1.026,1730.723
209,103_17.tif_C1:Nucleus-C1,2.491,1950.460
210,103_17.tif_C1:Intersection-C1,0.925,2018.228
211,103_18.tif_C2:Nucleus-C2,2.766,1527.556
212,103_18.tif_C2:Intersection-C2,0.943,1669.359
213,103_18.tif_C1:Nucleus-C1,2.757,1882.133
214,103_18.tif_C1:Intersection-C1,0.815,2050.888
215,103_19.tif_C2:Nucleus-C2,3.032,1443.520
216,103_19.tif_C2:Intersection-C2,0.888,1520.381
217,103_19.tif_C1:Nucleus-C1,2.968,1811.997
218,103_19.tif_C1:Intersection-C1,0.833,1980.615
219,103_20.tif_C2:Nucleus-C2,3.352,1405.858
220,103_20.tif_C2:Intersection-C2,0.724,1410.228
221,103_20.tif_C1:Nucleus-C1,2.638,1892.708
222,103_20.tif_C1:Intersection-C1,0.678,2016.662
223,104_00.tif_C2:Nucleus-C2,2.473,1665.907
224,104_00.tif_C2:Intersection-C2,1.017,1870.514
225,104_00.tif_C1:Nucleus-C1,2.491,1575.684
226,104_00.tif_C1:Intersection-C1,1.026,1834.375
227,104_01.tif_C2:Nucleus-C2,2.565,1634.736
228,104_01.tif_C2:Intersection-C2,0.943,1756.951
229,104_01.tif_C1:Nucleus-C1,3.087,1483.881
230,104_01.tif_C1:Intersection-C1,1.026,1819.652
231,104_02.tif_C2:Nucleus-C2,2.903,1571.183
232,104_02.tif_C2:Intersection-C2,0.962,1741.400
233,104_02.tif_C1:Nucleus-C1,2.244,1606.633
234,104_02.tif_C1:Intersection-C1,1.026,1792.339
235,104_03.tif_C2:Nucleus-C2,2.592,1584.763
236,104_03.tif_C2:Intersection-C2,0.815,1779.989
237,104_03.tif_C1:Nucleus-C1,2.308,1633.560
238,104_03.tif_C1:Intersection-C1,1.026,1858.688
239,104_04.tif_C2:Nucleus-C2,2.299,1658.486
240,104_04.tif_C2:Intersection-C2,0.943,1796.495
241,104_04.tif_C1:Nucleus-C1,2.134,1656.476
242,104_04.tif_C1:Intersection-C1,1.026,1889.036
243,104_05.tif_C2:Nucleus-C2,2.555,1589.964
244,104_05.tif_C2:Intersection-C2,0.925,1728.149
245,104_05.tif_C1:Nucleus-C1,2.171,1654.278
246,104_05.tif_C1:Intersection-C1,1.017,1899.315
247,104_06.tif_C2:Nucleus-C2,2.363,1624.628
248,104_06.tif_C2:Intersection-C2,0.989,1757.954
249,104_06.tif_C1:Nucleus-C1,2.262,1632.951
250,104_06.tif_C1:Intersection-C1,1.026,1911.946
251,104_07.tif_C2:Nucleus-C2,2.455,1590.063
252,104_07.tif_C2:Intersection-C2,0.971,1751.943
253,104_07.tif_C1:Nucleus-C1,2.391,1586.567
254,104_07.tif_C1:Intersection-C1,1.026,1866.152
255,104_08.tif_C2:Nucleus-C2,2.207,1616.788
256,104_08.tif_C2:Intersection-C2,0.833,1711.209
257,104_08.tif_C1:Nucleus-C1,2.290,1631.116
258,104_08.tif_C1:Intersection-C1,1.026,1825.786
259,104_09.tif_C2:Nucleus-C2,2.409,1568.354
260,104_09.tif_C2:Intersection-C2,0.898,1743.153
261,104_09.tif_C1:Nucleus-C1,2.336,1570.235
262,104_09.tif_C1:Intersection-C1,1.026,1837.580
263,104_10.tif_C2:Nucleus-C2,2.794,1504.813
264,104_10.tif_C2:Intersection-C2,0.971,1652.708
265,104_10.tif_C1:Nucleus-C1,2.281,1606.418
266,104_10.tif_C1:Intersection-C1,1.026,1862.688
267,104_11.tif_C2:Nucleus-C2,2.271,1571.331
268,104_11.tif_C2:Intersection-C2,0.943,1688.942
269,104_11.tif_C1:Nucleus-C1,2.207,1632.668
270,104_11.tif_C1:Intersection-C1,1.026,1841.170
271,104_12.tif_C2:Nucleus-C2,2.482,1527.114
272,104_12.tif_C2:Intersection-C2,0.980,1698.785
273,104_12.tif_C1:Nucleus-C1,2.308,1623.440
274,104_12.tif_C1:Intersection-C1,1.026,1882.482
275,104_13.tif_C2:Nucleus-C2,2.537,1528.394
276,104_13.tif_C2:Intersection-C2,0.916,1682.140
277,104_13.tif_C1:Nucleus-C1,2.308,1614.357
278,104_13.tif_C1:Intersection-C1,1.026,1866.286
279,104_14.tif_C2:Nucleus-C2,2.207,1565.100
280,104_14.tif_C2:Intersection-C2,0.943,1722.777
281,104_14.tif_C1:Nucleus-C1,2.235,1607.467
282,104_14.tif_C1:Intersection-C1,1.026,1903.580
283,104_15.tif_C2:Nucleus-C2,2.281,1537.490
284,104_15.tif_C2:Intersection-C2,1.026,1743.616
285,104_15.tif_C1:Nucleus-C1,1.868,1745.975
286,104_15.tif_C1:Intersection-C1,0.843,1918.957
287,104_16.tif_C2:Nucleus-C2,2.519,1474.480
288,104_16.tif_C2:Intersection-C2,1.017,1698.910
289,104_16.tif_C1:Nucleus-C1,1.832,1656.785
290,104_16.tif_C1:Intersection-C1,0.779,1831.329
291,104_17.tif_C2:Nucleus-C2,2.574,1444.708
292,104_17.tif_C2:Intersection-C2,1.007,1555.164
293,104_17.tif_C1:Nucleus-C1,2.354,1582.813
294,104_17.tif_C1:Intersection-C1,1.017,1712.829
295,104_18.tif_C2:Nucleus-C2,2.317,1474.328
296,104_18.tif_C2:Intersection-C2,1.026,1675.839
297,104_18.tif_C1:Nucleus-C1,1.997,1683.592
298,104_18.tif_C1:Intersection-C1,1.026,1918.857
299,104_19.tif_C2:Nucleus-C2,2.042,1547.220
300,104_19.tif_C2:Intersection-C2,0.751,1635.183
301,104_19.tif_C1:Nucleus-C1,2.015,1639.945
302,104_19.tif_C1:Intersection-C1,0.724,1707.646
303,104_20.tif_C2:Nucleus-C2,2.757,1389.571
304,104_20.tif_C2:Intersection-C2,0.989,1557.250
305,104_20.tif_C1:Nucleus-C1,2.162,1614.225
306,104_20.tif_C1:Intersection-C1,0.669,1739.151
307,107_00.tif_C2:Nucleus-C2,2.684,1418.860
308,107_00.tif_C2:Intersection-C2,0.055,1176.000
309,107_00.tif_C1:Nucleus-C1,1.988,1403.705
310,107_00.tif_C1:Intersection-C1,0.027,1145.000
311,107_01.tif_C2:Nucleus-C2,4.012,1383.103
312,107_01.tif_C2:Intersection-C2,0.724,1397.823
313,107_01.tif_C1:Nucleus-C1,3.810,1380.353
314,107_01.tif_C1:Intersection-C1,0.724,1309.013
315,107_02.tif_C2:Nucleus-C2,2.913,1525.267
316,107_02.tif_C2:Intersection-C2,0.604,1489.697
317,107_02.tif_C1:Nucleus-C1,2.510,1539.679
318,107_02.tif_C1:Intersection-C1,0.201,1479.045
319,107_03.tif_C2:Nucleus-C2,3.508,1376.470
320,107_03.tif_C2:Intersection-C2,0.788,1399.942
321,107_03.tif_C1:Nucleus-C1,3.233,1427.592
322,107_03.tif_C1:Intersection-C1,0.614,1331.866
323,107_04.tif_C2:Nucleus-C2,4.039,1342.909
324,107_04.tif_C2:Intersection-C2,0.751,1310.378
325,107_04.tif_C1:Nucleus-C1,3.077,1416.443
326,107_04.tif_C1:Intersection-C1,0.485,1310.113
327,107_05.tif_C2:Nucleus-C2,3.105,1434.091
328,107_05.tif_C2:Intersection-C2,0.779,1447.106
329,107_05.tif_C1:Nucleus-C1,2.913,1502.450
330,107_05.tif_C1:Intersection-C1,0.339,1479.486
331,107_06.tif_C2:Nucleus-C2,2.903,1413.177
332,107_06.tif_C2:Intersection-C2,0.843,1479.696
333,107_06.tif_C1:Nucleus-C1,2.876,1464.490
334,107_06.tif_C1:Intersection-C1,0.641,1452.000
335,107_07.tif_C2:Nucleus-C2,2.400,1494.061
336,107_07.tif_C2:Intersection-C2,0.733,1530.112
337,107_07.tif_C1:Nucleus-C1,2.235,1625.131
338,107_07.tif_C1:Intersection-C1,0.376,1631.146
339,107_08.tif_C2:Nucleus-C2,3.169,1376.223
340,107_08.tif_C2:Intersection-C2,0.815,1474.090
341,107_08.tif_C1:Nucleus-C1,3.187,1419.227
342,107_08.tif_C1:Intersection-C1,0.550,1509.383
343,107_09.tif_C2:Nucleus-C2,3.425,1356.845
344,107_09.tif_C2:Intersection-C2,0.751,1351.256
345,107_09.tif_C1:Nucleus-C1,2.766,1485.619
346,107_09.tif_C1:Intersection-C1,0.412,1311.333
347,107_11.tif_C2:Nucleus-C2,3.444,1341.604
348,107_11.tif_C2:Intersection-C2,0.779,1412.200
349,107_12.tif_C2:Nucleus-C2,3.407,1311.392
350,107_12.tif_C2:Intersection-C2,0.953,1420.510
351,107_13.tif_C2:Nucleus-C2,3.425,1311.449
352,107_13.tif_C2:Intersection-C2,0.733,1403.875
353,107_13.tif_C1:Nucleus-C1,2.931,1420.994
354,107_13.tif_C1:Intersection-C1,0.467,1371.627
355,107_14.tif_C2:Nucleus-C2,3.306,1322.643
356,107_14.tif_C2:Intersection-C2,0.614,1332.478
357,107_14.tif_C1:Nucleus-C1,3.169,1406.208
358,107_14.tif_C1:Intersection-C1,0.394,1313.209
359,107_15.tif_C2:Nucleus-C2,2.629,1393.568
360,107_15.tif_C2:Intersection-C2,0.531,1314.534
361,107_15.tif_C1:Nucleus-C1,2.830,1448.858
362,107_15.tif_C1:Intersection-C1,0.275,1263.600
363,107_16.tif_C2:Nucleus-C2,3.197,1321.152
364,107_16.tif_C2:Intersection-C2,0.467,1218.275
365,107_16.tif_C1:Nucleus-C1,2.381,1494.558
